course_code,prerequisite
GDT1,
GDT2,GDT1
GDT3,"GDT1,GDT2"
LTP1,
LTP2,LTP1
LTP3,"LTP1,LTP2"
OOP1,
OOP2,OOP1
OOP3,"OOP1,OOP2"
THKTLT1,
THKTLT2,THKTLT1
THKTLT3,"THKTLT1,THKTLT2"
MI11001,
MI21001,MI11001
CS2001,
CS3002,CS2001
KTLT1,
KTLT2,KTLT1
